_id,X,Y,neighborhood_id,neighborhood_name,device_serial,device_connectedto,device_address,device_lat,device_long,device_tags,etl_updatedtimestamp,is_current,org1,org2,inside_outside,landmark,ObjectId
1,,,L_601230550253963851,Mobile WiFi Kit 3,Q3AK-Q4UV-A3YH,MR76-3,,,,[],2024/04/02 07:55:56+00,1,,,,,1
2,,,L_601230550253964019,City Hall Truck,Q3AU-KME9-S2T6,MR-78-1,,,,[],2024/04/02 07:55:58+00,1,,,,,2
3,,,L_601230550253963852,Mobile WiFi Kit 4,Q2ZY-UMFL-3SV4,MG41-4,,,,[],2024/04/02 07:55:57+00,1,,,,,3
4,-71.0639761729006,42.3559889328712,N_568579452955527921,Parks,Q3AK-CQWK-ZYPY,PARKS-COMMON-AP8,Boston Common,42.3559889328712,-71.0639761729006,[],2024/04/02 07:55:59+00,1,,,,,4
5,-71.1174785831756,42.3158788382307,N_568579452955527921,Parks,Q2CK-7CSR-NUQK,PARKS-JAMAICAPOND-AP2,"507 Jamaicaway, Jamaica Plain, MA - bandstand",42.3158788382307,-71.1174785831756,"['Jamaica-Pond', 'Outside']",2024/04/02 07:55:59+00,1,,,,Jamaica Pond Outside,5
6,-71.0977575987968,42.3184116635137,N_579275502070532581,Roxbury,Q2CK-CX6Z-DWFB,,"1870 Columbus Ave., Roxbury, MA",42.3184116635137,-71.0977575987968,"['BFD', 'Engine-42', 'Outside']",2024/04/02 07:56:03+00,1,BFD,,,Engine 42 Outside,6
7,-71.075406793306,42.309056987344,N_579275502070532581,Roxbury,Q2CK-74V2-BS4Q,ROX-FREDERICK-AP1,"270 Columbia Rd., Dorchester, MA",42.309056987344,-71.075406793306,"['BPS', 'Frederick-Pilot-School', 'Outside']",2024/04/02 07:56:03+00,1,BPS,,,Frederick Pilot School Outside,7
8,-71.1174785831756,42.3158788382307,N_568579452955527921,Parks,Q2CK-7ANU-RF72,PARKS-JAMAICAPOND-AP1,"507 Jamaicaway, Jamaica Plain, MA - boat house",42.3158788382307,-71.1174785831756,"['Jamaica-Pond', 'Outside']",2024/04/02 07:55:59+00,1,,,,Jamaica Pond Outside,8
9,-71.0763062071055,42.3109767032681,N_579275502070532581,Roxbury,Q2CK-5W3E-RVCM,ROX-MLKSCHOOL-AP3,"77 Lawrence Ave., Roxbury, MA",42.3109767032681,-71.0763062071055,"['BPS', 'MLK', 'Outside']",2024/04/02 07:56:03+00,1,BPS,,,MLK Outside,9
10,-71.0675805917259,42.3147786635241,N_568579452955534204,Dorchester,Q2CK-CVPA-TEUV,DOT-BPL-AP2,"500 Columbia Rd., Dorchester, MA",42.3147786635241,-71.0675805917259,"['BPL', 'Outside', 'Uphams-Corner-Branch']",2024/04/02 07:55:59+00,1,BPL,,,Outside Uphams Corner Branch,10
